epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11847.8,0.45802,0.66076,1.00487,0.76836,0.73137,0.80118,0.64587,0.77554,1.18746,1.37826,0.000299982,0.000299982,0.000299982
43,12140,0.44904,0.66378,1.00689,0.77769,0.69923,0.7984,0.65951,0.72538,1.20605,1.29424,0.000289884,0.000289884,0.000289884
44,12429.9,0.45332,0.64382,1.00617,0.79909,0.67752,0.78834,0.66762,0.72743,1.18277,1.30919,0.000279786,0.000279786,0.000279786
45,12692.9,0.44292,0.63956,0.99965,0.72234,0.76036,0.76895,0.62994,0.71192,1.22814,1.33397,0.000269688,0.000269688,0.000269688
46,12941,0.42798,0.60968,0.99381,0.77307,0.76345,0.81806,0.65588,0.75209,1.18716,1.36797,0.00025959,0.00025959,0.00025959
47,13186.6,0.43585,0.61711,0.99856,0.80245,0.73416,0.82835,0.67413,0.72052,1.1267,1.32149,0.000249492,0.000249492,0.000249492
48,13427.2,0.45014,0.62991,1.00566,0.79986,0.73205,0.81969,0.68156,0.71115,1.15607,1.30142,0.000239394,0.000239394,0.000239394
49,13668,0.42602,0.61008,0.99794,0.78813,0.75762,0.82037,0.68434,0.71598,1.14598,1.33419,0.000229296,0.000229296,0.000229296
50,13908.3,0.41664,0.59365,0.98464,0.78421,0.70425,0.83229,0.69642,0.68952,1.0952,1.28074,0.000219198,0.000219198,0.000219198
51,14145.7,0.42457,0.56711,0.98777,0.80019,0.71903,0.82278,0.66898,0.72134,1.18399,1.31868,0.0002091,0.0002091,0.0002091
52,14383.5,0.42274,0.56266,0.99633,0.7962,0.72902,0.82066,0.6611,0.70961,1.12257,1.31319,0.000199002,0.000199002,0.000199002
53,14624.8,0.4101,0.57387,0.97932,0.82728,0.72589,0.84018,0.69016,0.66711,1.12382,1.27195,0.000188904,0.000188904,0.000188904
54,14870,0.40636,0.56304,0.98668,0.78047,0.71443,0.8216,0.67167,0.67972,1.16729,1.28423,0.000178806,0.000178806,0.000178806
55,15120.2,0.4033,0.5432,0.98132,0.79011,0.74862,0.82561,0.68166,0.68193,1.12589,1.32245,0.000168708,0.000168708,0.000168708
56,15406.3,0.42042,0.56601,0.98413,0.7385,0.73972,0.80119,0.67963,0.65044,1.14209,1.27268,0.00015861,0.00015861,0.00015861
57,15704.4,0.39974,0.52412,0.98332,0.73956,0.77806,0.82283,0.69413,0.67536,1.11213,1.30445,0.000148512,0.000148512,0.000148512
58,16000.4,0.40058,0.52584,0.97281,0.79486,0.75255,0.82442,0.68779,0.65911,1.09318,1.27697,0.000138414,0.000138414,0.000138414
59,16297,0.38701,0.51553,0.96794,0.7982,0.75551,0.83435,0.70387,0.64883,1.03913,1.26333,0.000128316,0.000128316,0.000128316
60,16592.3,0.39109,0.5276,0.97177,0.79585,0.68871,0.81082,0.68364,0.62886,1.1139,1.24525,0.000118218,0.000118218,0.000118218
61,16880.2,0.32021,0.44748,0.99831,0.79755,0.71827,0.81563,0.66281,0.67493,1.12719,1.30376,0.00010812,0.00010812,0.00010812
62,17166.1,0.30588,0.37474,0.97638,0.78957,0.75284,0.81253,0.69822,0.64742,1.16195,1.25722,9.8022e-05,9.8022e-05,9.8022e-05
63,17456.3,0.30512,0.3731,0.96175,0.82694,0.73062,0.83024,0.71126,0.62601,1.07176,1.24731,8.7924e-05,8.7924e-05,8.7924e-05
64,17747.4,0.29559,0.35165,0.96329,0.80333,0.73855,0.8235,0.70097,0.65452,1.17913,1.2653,7.7826e-05,7.7826e-05,7.7826e-05
65,18035.8,0.29017,0.34004,0.95837,0.80517,0.76851,0.83925,0.71491,0.67004,1.11245,1.27208,6.7728e-05,6.7728e-05,6.7728e-05
66,18327,0.28621,0.33582,0.95183,0.78426,0.76633,0.81668,0.69752,0.66871,1.15148,1.28257,5.763e-05,5.763e-05,5.763e-05
67,18618.7,0.2801,0.32782,0.95474,0.83313,0.7155,0.80538,0.69371,0.65904,1.16648,1.2571,4.7532e-05,4.7532e-05,4.7532e-05
68,18906.9,0.27364,0.31612,0.94629,0.7782,0.74012,0.80528,0.6898,0.63973,1.16325,1.24203,3.7434e-05,3.7434e-05,3.7434e-05
69,19193.6,0.2669,0.31695,0.93544,0.77042,0.77704,0.8077,0.69835,0.63807,1.19191,1.24268,2.7336e-05,2.7336e-05,2.7336e-05
70,19484.5,0.26617,0.31177,0.93741,0.79864,0.74117,0.81027,0.69651,0.63972,1.19357,1.24479,1.7238e-05,1.7238e-05,1.7238e-05
